"Table","Column","Type","Nullable","Default","Description"
"achievements","achievement_id","int","NO","",""
"achievements","game_id","int","YES","",""
"achievements","name","varchar(100)","NO","",""
"achievements","description","text","YES","",""
"achievements","icon_url","varchar(255)","YES","",""
"achievements","rarity_percent","decimal(5,2)","YES","",""
"achievements","points","int","YES","0",""
"achievements","secret","tinyint(1)","YES","0",""
"daily_active_users","date","date","NO","",""
"daily_active_users","total_users","int","YES","0",""
"daily_active_users","new_users","int","YES","0",""
"daily_active_users","returning_users","int","YES","0",""
"daily_active_users","peak_concurrent_users","int","YES","0",""
"daily_active_users","average_session_minutes","decimal(5,2)","YES","0.00",""
"daily_active_users","revenue","decimal(10,2)","YES","0.00",""
"developers","developer_id","int","NO","",""
"developers","name","varchar(100)","NO","",""
"developers","slug","varchar(100)","NO","",""
"developers","description","text","YES","",""
"developers","logo_url","varchar(500)","YES","",""
"developers","website_url","varchar(500)","YES","",""
"developers","founded_year","int","YES","",""
"developers","country_code","char(2)","YES","",""
"developers","employee_count_range","varchar(50)","YES","",""
"friends","user_id","int","NO","",""
"friends","friend_id","int","NO","",""
"friends","status","enum('pending','accepted','blocked')","YES","pending",""
"friends","created_at","timestamp","YES","CURRENT_TIMESTAMP",""
"friends","accepted_at","timestamp","YES","",""
"game_details","game_id","int","NO","0",""
"game_details","title","varchar(200)","NO","",""
"game_details","developer","varchar(100)","YES","",""
"game_details","final_price","decimal(8,2)","YES","",""
"game_details","metacritic_score","int","YES","",""
"game_details","genres","text","YES","",""
"game_developers","game_id","int","NO","",""
"game_developers","developer_id","int","NO","",""
"game_developers","role","enum('primary','support','publisher')","YES","primary",""
"game_genres","game_id","int","NO","",""
"game_genres","genre_id","int","NO","",""
"game_platforms","game_id","int","NO","",""
"game_platforms","platform_id","int","NO","",""
"game_platforms","release_date","date","YES","",""
"game_platforms","platform_specific_price","decimal(8,2)","YES","",""
"game_tags","game_id","int","NO","",""
"game_tags","tag_id","int","NO","",""
"games","game_id","int","NO","",""
